#Engineering-Data-Exchange;;;;;;;;;;;;
PROJECT_NAME;"BDT";;;;;;;;;;;
VERSION_OF_REFERENCEFILE;1;;;;;;;;;;;
TIMESTAMP_OF_LAST_CHANGE;17.11.2025;;;;;;;;;;;
AUTHOR_OF_LAST_CHANGE;;;;;;;;;;;;
VERSION_OF_LAYOUT;2;;;;;;;;;;;
#mandatory;mandatory;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;min-present-value;max-present-value;commandable;hi-limit;low-limit;state-text-reference;unit-code
"Trendlog(3004938)";504;"GTBQIDMCRC/MSTP1.FX46.AI-4.Tendance1";20;3004938;;;;N;;;;
"Trendlog(3004937)";504;"GTBQIDMCRC/MSTP1.FX45.AI-4.Tendance1";20;3004937;;;;N;;;;
"Trendlog(3004936)";504;"GTBQIDMCRC/MSTP1.FX44.AI-4.Tendance1";20;3004936;;;;N;;;;
"Trendlog(3004935)";504;"GTBQIDMCRC/MSTP1.FX42.AI-4.Tendance1";20;3004935;;;;N;;;;
"Trendlog(3004934)";504;"GTBQIDMCRC/MSTP1.FX41.AI-4.Tendance1";20;3004934;;;;N;;;;
"Trendlog(3004933)";504;"GTBQIDMCRC/MSTP1.FX40.AI-4.Tendance1";20;3004933;;;;N;;;;
"Trendlog(3004932)";504;"GTBQIDMCRC/MSTP1.FX39.AI-4.Tendance1";20;3004932;;;;N;;;;
"Trendlog(3004931)";504;"GTBQIDMCRC/MSTP1.FX35.AI-4.Tendance1";20;3004931;;;;N;;;;
"Trendlog(3004930)";504;"GTBQIDMCRC/MSTP1.FX34.AI-4.Tendance1";20;3004930;;;;N;;;;
"Trendlog(3004929)";504;"GTBQIDMCRC/MSTP1.FX33.AI-4.Tendance1";20;3004929;;;;N;;;;
"Trendlog(3004928)";504;"GTBQIDMCRC/MSTP1.FX32.AI-4.Tendance1";20;3004928;;;;N;;;;
"Trendlog(3004927)";504;"GTBQIDMCRC/MSTP1.FX31.AI-4.Tendance1";20;3004927;;;;N;;;;
"Trendlog(3000006)";504;"GTBQIDMCRC/Memory Usage Trend Log";20;3000006;;;;N;;;;
"MultistateValue(3008358)";504;"GTBQIDMCRC/MSTP1.FEC20.forcage-mode-poutres commande";19;3008358;"0=Auto , 1=Chaud , 2=Froid";;;Y;;;1;
"MultistateValue(3008152)";504;"GTBQIDMCRC/MSTP1.FEC20.forcage-mode-poutres demande";19;3008152;"0=Auto , 1=Chaud , 2=Froid";;;N;;;1;
"MultistateValue(3007820)";504;"GTBQIDMCRC/MSTP1.FEC20.temporisation-commutation etat";19;3007820;;;;N;;;2;
"MultistateValue(3007767)";504;"GTBQIDMCRC/MSTP1.FEC20.demande-chaud-batiment-d etat";19;3007767;;;;N;;;2;
"MultistateValue(3007766)";504;"GTBQIDMCRC/MSTP1.FEC20.demande-ete-hiver commande";19;3007766;"demande-ete-hiver.commande";;;Y;;;3;
"MultistateValue(3007765)";504;"GTBQIDMCRC/MSTP1.FEC10.demande-ete-hiver commande";19;3007765;"demande-ete-hiver.commande";;;Y;;;3;
"MultistateValue(3007564)";504;"GTBQIDMCRC/MSTP1.FEC20.temperature-haute-froid defaut-";19;3007564;;;;N;;;4;
"MultistateValue(3007545)";504;"GTBQIDMCRC/MSTP1.FEC20.niveau-bas-temperature-poutres-";19;3007545;;;;N;;;4;
"MultistateValue(3004468)";504;"GTBQIDMCRC/Programming.Ventil.monobloc-marche";19;3004468;;;;Y;;;5;
"MultistateValue(3004401)";504;"GTBQIDMCRC/Programming.Alarmes.alarme non urgente etat";19;3004401;;;;Y;;;2;
"MultistateValue(3001560)";504;"GTBQIDMCRC/MSTP1.FEC20.chauffage-electrique-sanit defa";19;3001560;;;;N;;;4;
"MultistateValue(3001145)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-retour-chaud-poutres defa";19;3001145;;;;N;;;6;
"MultistateValue(3001144)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-aller-chaud-poutres defau";19;3001144;;;;N;;;6;
"MultistateValue(3001143)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-aller-froid-poutres defau";19;3001143;;;;N;;;6;
"MultistateValue(3001142)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-retour-chaud-collecteur d";19;3001142;;;;N;;;6;
"MultistateValue(3001141)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-aller-chaud-collecteur de";19;3001141;;;;N;;;6;
"MultistateValue(3001140)";504;"GTBQIDMCRC/MSTP1.FEC20.vanne-retour-froid-poutres defa";19;3001140;;;;N;;;6;
"MultistateValue(3001139)";504;"GTBQIDMCRC/MSTP1.FEC20.demande-pcc-chauffage commande";19;3001139;;;;Y;;;7;
"MultistateValue(3001138)";504;"GTBQIDMCRC/MSTP1.FEC20.demande-horaire-chauffage comma";19;3001138;;;;Y;;;7;
"MultistateValue(3001137)";504;"GTBQIDMCRC/MSTP1.FEC20.energie-chaud-demandee commande";19;3001137;;;;Y;;;8;
"MultistateValue(3001136)";504;"GTBQIDMCRC/MSTP1.FEC20.antilegionellose-horaire comman";19;3001136;;;;Y;;;9;
"MultistateValue(3001132)";504;"GTBQIDMCRC/MSTP1.FEC20.demande-horaire-pompe-sanitaire";19;3001132;;;;Y;;;9;
"MultistateValue(3001131)";504;"GTBQIDMCRC/MSTP1.FEC20.pression-statique-maintenu defa";19;3001131;;;;N;;;4;
"MultistateValue(3000256)";504;"GTBQIDMCRC/MSTP1.FEC20.quittance commande";19;3000256;;;;Y;;;9;
"MultistateValue(3000254)";504;"GTBQIDMCRC/MSTP1.FEC20.demande-horaire-froid commande";19;3000254;;;;Y;;;7;
"MultistateValue(3000252)";504;"GTBQIDMCRC/MSTP1.FEC20.demande-pcc-froid commande";19;3000252;;;;Y;;;7;
"MultistateValue(3000251)";504;"GTBQIDMCRC/MSTP1.FEC20.energie-froid-demandee commande";19;3000251;;;;Y;;;9;
"MultistateValue(3000148)";504;"GTBQIDMCRC/MSTP1.FEC10.quittance commande";19;3000148;;;;Y;;;9;
"MultistateValue(3000147)";504;"GTBQIDMCRC/MSTP1.FEC10.debit-pulsion defaut-general";19;3000147;;;;N;;;6;
"MultistateValue(3000146)";504;"GTBQIDMCRC/MSTP1.FEC10.debit-extraction defaut-general";19;3000146;;;;N;;;6;
"MultistateValue(3000145)";504;"GTBQIDMCRC/MSTP1.FEC10.demande-horaire commande";19;3000145;;;;Y;;;7;
"MultistateValue(3000144)";504;"GTBQIDMCRC/MSTP1.FEC10.pression-extraction defaut-gene";19;3000144;;;;N;;;6;
"MultistateValue(3000143)";504;"GTBQIDMCRC/MSTP1.FEC10.demande-pcc commande";19;3000143;;;;Y;;;7;
"MultistateValue(3000142)";504;"GTBQIDMCRC/MSTP1.FEC10.clapet-air-neuf defaut-general";19;3000142;;;;N;;;6;
"MultistateValue(3000139)";504;"GTBQIDMCRC/MSTP1.FEC10.danger-gel defaut-general";19;3000139;;;;N;;;6;
"MultistateValue(3000138)";504;"GTBQIDMCRC/MSTP1.FEC10.feu";19;3000138;;;;Y;;;6;
"MultistateValue(3000137)";504;"GTBQIDMCRC/MSTP1.FEC10.pression-pulsion defaut-general";19;3000137;;;;N;;;6;
"MultistateValue(3000136)";504;"GTBQIDMCRC/MSTP1.FEC10.clapet-air-repris defaut-genera";19;3000136;;;;N;;;6;
"MultistateValue(3000135)";504;"GTBQIDMCRC/MSTP1.FEC10.clapets-feu etat";19;3000135;"etat clapets feu";;;Y;;;10;
"Averaging(3007091)";504;"GTBQIDMCRC/MSTP1.FEC10.temperature-air-frais mesure.Moyennage1";18;3007091;;;;N;;;;
"Program(3009922)";504;"GTBQIDMCRC/Programming.irc.TUC38";16;3009922;;;;N;;;;
"Program(3009662)";504;"GTBQIDMCRC/Programming.irc.TUC43";16;3009662;;;;N;;;;
"Program(3009551)";504;"GTBQIDMCRC/Programming.irc.TUC63";16;3009551;;;;N;;;;
"Program(3009550)";504;"GTBQIDMCRC/Programming.irc.TUC62";16;3009550;;;;N;;;;
"Program(3009549)";504;"GTBQIDMCRC/Programming.irc.TUC61";16;3009549;;;;N;;;;
"Program(3009548)";504;"GTBQIDMCRC/Programming.irc.TUC60";16;3009548;;;;N;;;;
"Program(3005482)";504;"GTBQIDMCRC/Programming.systeme.automates";16;3005482;;;;N;;;;
"Program(3005458)";504;"GTBQIDMCRC/Programming.systeme.nae";16;3005458;;;;N;;;;
"Program(3004575)";504;"GTBQIDMCRC/Programming.irc.FX59";16;3004575;;;;N;;;;
"Program(3004469)";504;"GTBQIDMCRC/Programming.Ventil.monobloc marche";16;3004469;;;;N;;;;
"Program(3004019)";504;"GTBQIDMCRC/Programming.irc.FX58";16;3004019;;;;N;;;;
"Program(3003988)";504;"GTBQIDMCRC/Programming.irc.FX57";16;3003988;;;;N;;;;
"Program(3003957)";504;"GTBQIDMCRC/Programming.irc.FX56";16;3003957;;;;N;;;;
"Program(3003926)";504;"GTBQIDMCRC/Programming.irc.FX55";16;3003926;;;;N;;;;
"Program(3003895)";504;"GTBQIDMCRC/Programming.irc.FX54";16;3003895;;;;N;;;;
"Program(3003864)";504;"GTBQIDMCRC/Programming.irc.FX52";16;3003864;;;;N;;;;
"Program(3003833)";504;"GTBQIDMCRC/Programming.irc.FX51";16;3003833;;;;N;;;;
"Program(3003802)";504;"GTBQIDMCRC/Programming.irc.FX50";16;3003802;;;;N;;;;
"Program(3003771)";504;"GTBQIDMCRC/Programming.irc.FX49";16;3003771;;;;N;;;;
"Program(3003740)";504;"GTBQIDMCRC/Programming.irc.FX47";16;3003740;;;;N;;;;
"Program(3003709)";504;"GTBQIDMCRC/Programming.irc.FX46";16;3003709;;;;N;;;;
"Program(3003678)";504;"GTBQIDMCRC/Programming.irc.FX45";16;3003678;;;;N;;;;
"Program(3003647)";504;"GTBQIDMCRC/Programming.irc.FX44";16;3003647;;;;N;;;;
"Program(3003616)";504;"GTBQIDMCRC/Programming.irc.FX42";16;3003616;;;;N;;;;
"Program(3003585)";504;"GTBQIDMCRC/Programming.irc.FX41";16;3003585;;;;N;;;;
"Program(3003554)";504;"GTBQIDMCRC/Programming.irc.FX40";16;3003554;;;;N;;;;
"Program(3003523)";504;"GTBQIDMCRC/Programming.irc.FX39";16;3003523;;;;N;;;;
"Program(3003492)";504;"GTBQIDMCRC/Programming.irc.FX35";16;3003492;;;;N;;;;
"Program(3003461)";504;"GTBQIDMCRC/Programming.irc.FX34";16;3003461;;;;N;;;;
"Program(3003430)";504;"GTBQIDMCRC/Programming.irc.FX33";16;3003430;;;;N;;;;
"Program(3002770)";504;"GTBQIDMCRC/Programming.irc.FX32";16;3002770;;;;N;;;;
"Program(3002755)";504;"GTBQIDMCRC/Programming.irc.FX31";16;3002755;;;;N;;;;
"Program(3002724)";504;"GTBQIDMCRC/Programming.irc.FX30";16;3002724;;;;N;;;;
"Program(3002709)";504;"GTBQIDMCRC/Programming.irc.Commutation";16;3002709;;;;N;;;;
"Program(3001067)";504;"GTBQIDMCRC/Programming.poutre.Quitt";16;3001067;;;;N;;;;
"Program(3001041)";504;"GTBQIDMCRC/Programming.poutre.changeover";16;3001041;;;;N;;;;
"Program(3000644)";504;"GTBQIDMCRC/Programming.Alarmes.Alarmes non urgentes";16;3000644;;;;N;;;;
"Program(3000603)";504;"GTBQIDMCRC/Programming.Alarmes.Alarmes urgentes";16;3000603;;;;N;;;;
"Program(3000465)";504;"GTBQIDMCRC/Programming.Ventil.etat ccf";16;3000465;;;;N;;;;
"Program(3000464)";504;"GTBQIDMCRC/Programming.Ventil.renvoi feu";16;3000464;;;;N;;;;
"Program(3000182)";504;"GTBQIDMCRC/Programming.Ventil.Quitt";16;3000182;;;;N;;;;
"NotificationClass(1)";504;"GTBQIDMCRC/Notification1";15;1;;;;N;;;;
"MultistateOutput(3004194)";504;"GTBQIDMCRC/LON.ccf-reprisee1 2_2.ccf-reprisee1 2_2-commande";14;3004194;;;;Y;;;11;
"MultistateOutput(3000414)";504;"GTBQIDMCRC/LON.ccf-reprisee1 4_4.ccf-reprisee1 4_4-commande";14;3000414;;;;Y;;;11;
"MultistateOutput(3000412)";504;"GTBQIDMCRC/LON.ccf-reprisee1 4_3.ccf-reprisee1 4_3-commande";14;3000412;;;;Y;;;11;
"MultistateOutput(3000410)";504;"GTBQIDMCRC/LON.ccf-reprisee1 4_2.ccf-reprisee1 4_2-commande";14;3000410;;;;Y;;;11;
"MultistateOutput(3000408)";504;"GTBQIDMCRC/LON.ccf-reprisee1 4_1.ccf-reprisee1 4_1-commande";14;3000408;;;;Y;;;11;
"MultistateOutput(3000406)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 4_3.ccf-pulsionp1 4_3-commande";14;3000406;;;;Y;;;11;
"MultistateOutput(3000404)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 4_2.ccf-pulsionp1 4_2-commande";14;3000404;;;;Y;;;11;
"MultistateOutput(3000402)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 4_1.ccf-pulsionp1 4_1-commande";14;3000402;;;;Y;;;11;
"MultistateOutput(3000400)";504;"GTBQIDMCRC/LON.ccf-reprisee1 3_4.ccf-reprisee1 3_4-commande";14;3000400;;;;Y;;;11;
"MultistateOutput(3000398)";504;"GTBQIDMCRC/LON.ccf-reprisee1 3_3.ccf-reprisee1 3_3-commande";14;3000398;;;;Y;;;11;
"MultistateOutput(3000396)";504;"GTBQIDMCRC/LON.ccf-reprisee1 3_2.ccf-reprisee1 3_2-commande";14;3000396;;;;Y;;;11;
"MultistateOutput(3000394)";504;"GTBQIDMCRC/LON.ccf-reprisee1 3_1.ccf-reprisee1 3_1-commande";14;3000394;;;;Y;;;11;
"MultistateOutput(3000392)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 3_3.ccf-pulsionp1 3_3-commande";14;3000392;;;;Y;;;11;
"MultistateOutput(3000390)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 3_2.ccf-pulsionp1 3_2-commande";14;3000390;;;;Y;;;11;
"MultistateOutput(3000388)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 3_1.ccf-pulsionp1 3_1-commande";14;3000388;;;;Y;;;11;
"MultistateOutput(3000386)";504;"GTBQIDMCRC/LON.ccf-reprisee1 2_4.ccf-reprisee1 2_4-commande";14;3000386;;;;Y;;;11;
"MultistateOutput(3000384)";504;"GTBQIDMCRC/LON.ccf-reprisee1 2_3.ccf-reprisee1 2_3-commande";14;3000384;;;;Y;;;11;
"MultistateOutput(3000380)";504;"GTBQIDMCRC/LON.ccf-reprisee1 2_1.ccf-reprisee1 2_1-commande";14;3000380;;;;Y;;;11;
"MultistateOutput(3000378)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 2_3.ccf-pulsionp1 2_3-commande";14;3000378;;;;Y;;;11;
"MultistateOutput(3000376)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 2_2.ccf-pulsionp1 2_2-commande";14;3000376;;;;Y;;;11;
"MultistateOutput(3000374)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 2_1.ccf-pulsionp1 2_1-commande";14;3000374;;;;Y;;;11;
"MultistateOutput(3000372)";504;"GTBQIDMCRC/LON.ccf-reprisee1 1_4.ccf-reprisee1 1_4-commande";14;3000372;;;;Y;;;11;
"MultistateOutput(3000370)";504;"GTBQIDMCRC/LON.ccf-reprisee1 1_3.ccf-reprisee1 1_3-commande";14;3000370;;;;Y;;;11;
"MultistateOutput(3000368)";504;"GTBQIDMCRC/LON.ccf-reprisee1 1_2.ccf-reprisee1 1_2-commande";14;3000368;;;;Y;;;11;
"MultistateOutput(3000366)";504;"GTBQIDMCRC/LON.ccf-reprisee1 1_1.ccf-reprisee1 1_1-commande";14;3000366;;;;Y;;;11;
"MultistateOutput(3000364)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 1_3.ccf-pulsionp1 1_3-commande";14;3000364;;;;Y;;;11;
"MultistateOutput(3000362)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 1_2.ccf-pulsionp1 1_2-commande";14;3000362;;;;Y;;;11;
"MultistateOutput(3000358)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 1_1.ccf-pulsionp1 1_1-commande";14;3000358;;;;Y;;;11;
"MultistateOutput(3000356)";504;"GTBQIDMCRC/LON.ccf-reprisee1 0_4.ccf-reprisee1 0_4-commande";14;3000356;;;;Y;;;11;
"MultistateOutput(3000354)";504;"GTBQIDMCRC/LON.ccf-reprisee1 0_3.ccf-reprisee1 0_3-commande";14;3000354;;;;Y;;;11;
"MultistateOutput(3000352)";504;"GTBQIDMCRC/LON.ccf-reprisee1 0_2.ccf-reprisee1 0_2-commande";14;3000352;;;;Y;;;11;
"MultistateOutput(3000350)";504;"GTBQIDMCRC/LON.ccf-reprisee1 0_1.ccf-reprisee1 0_1-commande";14;3000350;;;;Y;;;11;
"MultistateOutput(3000346)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 0_3.ccf-pulsionp1 0_3-commande";14;3000346;;;;Y;;;11;
"MultistateOutput(3000342)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 0_2.ccf-pulsionp1 0_2-commande";14;3000342;;;;Y;;;11;
"MultistateOutput(3000338)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 0_1.ccf-pulsionp1 0_1-commande";14;3000338;;;;Y;;;11;
"MultistateOutput(3000336)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_14.ccf-reprisee1 9_14-commande";14;3000336;;;;Y;;;11;
"MultistateOutput(3000334)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_13.ccf-reprisee1 9_13-commande";14;3000334;;;;Y;;;11;
"MultistateOutput(3000332)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_12.ccf-reprisee1 9_12-commande";14;3000332;;;;Y;;;11;
"MultistateOutput(3000330)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_11.ccf-reprisee1 9_11-commande";14;3000330;;;;Y;;;11;
"MultistateOutput(3000328)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_10.ccf-reprisee1 9_10-commande";14;3000328;;;;Y;;;11;
"MultistateOutput(3000326)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_9.ccf-reprisee1 9_9-commande";14;3000326;;;;Y;;;11;
"MultistateOutput(3000324)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_8.ccf-reprisee1 9_8-commande";14;3000324;;;;Y;;;11;
"MultistateOutput(3000322)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_7.ccf-reprisee1 9_7-commande";14;3000322;;;;Y;;;11;
"MultistateOutput(3000320)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_6.ccf-reprisee1 9_6-commande";14;3000320;;;;Y;;;11;
"MultistateOutput(3000318)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_5.ccf-reprisee1 9_5-commande";14;3000318;;;;Y;;;11;
"MultistateOutput(3000316)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_4.ccf-reprisee1 9_4-commande";14;3000316;;;;Y;;;11;
"MultistateOutput(3000314)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_3.ccf-reprisee1 9_3-commande";14;3000314;;;;Y;;;11;
"MultistateOutput(3000312)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_2.ccf-reprisee1 9_2-commande";14;3000312;;;;Y;;;11;
"MultistateOutput(3000310)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_1.ccf-reprisee1 9_1-commande";14;3000310;;;;Y;;;11;
"MultistateOutput(3000306)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 9_8.ccf-pulsionp1 9_8-commande";14;3000306;;;;Y;;;11;
"MultistateOutput(3000302)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 9_7.ccf-pulsionp1 9_7-commande";14;3000302;;;;Y;;;11;
"MultistateOutput(3000298)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 9_6.ccf-pulsionp1 9_6-commande";14;3000298;;;;Y;;;11;
"MultistateOutput(3000294)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 9_5.ccf-pulsionp1 9_5-commande";14;3000294;;;;Y;;;11;
"MultistateOutput(3000290)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 9_4.ccf-pulsionp1 9_4-commande";14;3000290;;;;Y;;;11;
"MultistateOutput(3000286)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 9_3.ccf-pulsionp1 9_3-commande";14;3000286;;;;Y;;;11;
"MultistateOutput(3000282)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 9_2.ccf-pulsionp1 9_2-commande";14;3000282;;;;Y;;;11;
"MultistateOutput(3000278)";504;"GTBQIDMCRC/LON.ccf-pulsion-p1 9_1.ccf-pulsionp1 9_1-commande";14;3000278;;;;Y;;;11;
"MultistateInput(3004195)";504;"GTBQIDMCRC/LON.ccf-reprisee1 2_2.ccf-reprisee1 2_2-etat";13;3004195;;;;N;;;11;
"MultistateInput(3000460)";504;"GTBQIDMCRC/LON.ccf-reprisee1 4_4.ccf-reprisee1 4_4-etat";13;3000460;;;;N;;;11;
"MultistateInput(3000459)";504;"GTBQIDMCRC/LON.ccf-reprisee1 4_3.ccf-reprisee1 4_3-etat";13;3000459;;;;N;;;11;
"MultistateInput(3000458)";504;"GTBQIDMCRC/LON.ccf-reprisee1 4_2.ccf-reprisee1 4_2-etat";13;3000458;;;;N;;;11;
"MultistateInput(3000457)";504;"GTBQIDMCRC/LON.ccf-reprisee1 4_1.ccf-reprisee1 4_1-etat";13;3000457;;;;N;;;11;
"MultistateInput(3000456)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 4_3.ccf-pulsionp1 4_3-etat";13;3000456;;;;N;;;11;
"MultistateInput(3000455)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 4_2.ccf-pulsionp1 4_2-etat";13;3000455;;;;N;;;11;
"MultistateInput(3000454)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 4_1.ccf-pulsionp1 4_1-etat";13;3000454;;;;N;;;11;
"MultistateInput(3000453)";504;"GTBQIDMCRC/LON.ccf-reprisee1 3_4.ccf-reprisee1 3_4-etat";13;3000453;;;;N;;;11;
"MultistateInput(3000452)";504;"GTBQIDMCRC/LON.ccf-reprisee1 3_3.ccf-reprisee1 3_3-etat";13;3000452;;;;N;;;11;
"MultistateInput(3000451)";504;"GTBQIDMCRC/LON.ccf-reprisee1 3_2.ccf-reprisee1 3_2-etat";13;3000451;;;;N;;;11;
"MultistateInput(3000450)";504;"GTBQIDMCRC/LON.ccf-reprisee1 3_1.ccf-reprisee1 3_1-etat";13;3000450;;;;N;;;11;
"MultistateInput(3000449)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 3_3.ccf-pulsionp1 3_3-etat";13;3000449;;;;N;;;11;
"MultistateInput(3000448)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 3_2.ccf-pulsionp1 3_2-etat";13;3000448;;;;N;;;11;
"MultistateInput(3000447)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 3_1.ccf-pulsionp1 3_1-etat";13;3000447;;;;N;;;11;
"MultistateInput(3000446)";504;"GTBQIDMCRC/LON.ccf-reprisee1 2_4.ccf-reprisee1 2_4-etat";13;3000446;;;;N;;;11;
"MultistateInput(3000445)";504;"GTBQIDMCRC/LON.ccf-reprisee1 2_3.ccf-reprisee1 2_3-etat";13;3000445;;;;N;;;11;
"MultistateInput(3000443)";504;"GTBQIDMCRC/LON.ccf-reprisee1 2_1.ccf-reprisee1 2_1-etat";13;3000443;;;;N;;;11;
"MultistateInput(3000442)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 2_3.ccf-pulsionp1 2_3-etat";13;3000442;;;;N;;;11;
"MultistateInput(3000441)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 2_2.ccf-pulsionp1 2_2-etat";13;3000441;;;;N;;;11;
"MultistateInput(3000440)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 2_1.ccf-pulsionp1 2_1-etat";13;3000440;;;;N;;;11;
"MultistateInput(3000439)";504;"GTBQIDMCRC/LON.ccf-reprisee1 1_4.ccf-reprisee1 1_4-etat";13;3000439;;;;N;;;11;
"MultistateInput(3000438)";504;"GTBQIDMCRC/LON.ccf-reprisee1 1_3.ccf-reprisee1 1_3-etat";13;3000438;;;;N;;;11;
"MultistateInput(3000437)";504;"GTBQIDMCRC/LON.ccf-reprisee1 1_2.ccf-reprisee1 1_2-etat";13;3000437;;;;N;;;11;
"MultistateInput(3000436)";504;"GTBQIDMCRC/LON.ccf-reprisee1 1_1.ccf-reprisee1 1_1-etat";13;3000436;;;;N;;;11;
"MultistateInput(3000435)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 1_3.ccf-pulsionp1 1_3-etat";13;3000435;;;;N;;;11;
"MultistateInput(3000434)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 1_2.ccf-pulsionp1 1_2-etat";13;3000434;;;;N;;;11;
"MultistateInput(3000433)";504;"GTBQIDMCRC/LON.ccf-pulsionp1 1_1.ccf-pulsionp1 1_1-etat";13;3000433;;;;N;;;11;
"MultistateInput(3000432)";504;"GTBQIDMCRC/LON.ccf-reprisee1 0_4.ccf-reprisee1 0_4-etat";13;3000432;;;;N;;;11;
"MultistateInput(3000431)";504;"GTBQIDMCRC/LON.ccf-reprisee1 0_3.ccf-reprisee1 0_3-etat";13;3000431;;;;N;;;11;
"MultistateInput(3000430)";504;"GTBQIDMCRC/LON.ccf-reprisee1 0_2.ccf-reprisee1 0_2-etat";13;3000430;;;;N;;;11;
"MultistateInput(3000429)";504;"GTBQIDMCRC/LON.ccf-reprisee1 0_1.ccf-reprisee1 0_1-etat";13;3000429;;;;N;;;11;
"MultistateInput(3000428)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_14.ccf-reprisee1 9_14-etat";13;3000428;;;;N;;;11;
"MultistateInput(3000427)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_13.ccf-reprisee1 9_13-etat";13;3000427;;;;N;;;11;
"MultistateInput(3000426)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_12.ccf-reprisee1 9_12-etat";13;3000426;;;;N;;;11;
"MultistateInput(3000425)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_11.ccf-reprisee1 9_11-etat";13;3000425;;;;N;;;11;
"MultistateInput(3000424)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_10.ccf-reprisee1 9_10-etat";13;3000424;;;;N;;;11;
"MultistateInput(3000423)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_9.ccf-reprisee1 9_9-etat";13;3000423;;;;N;;;11;
"MultistateInput(3000422)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_8.ccf-reprisee1 9_8-etat";13;3000422;;;;N;;;11;
"MultistateInput(3000421)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_7.ccf-reprisee1 9_7-etat";13;3000421;;;;N;;;11;
"MultistateInput(3000420)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_6.ccf-reprisee1 9_6-etat";13;3000420;;;;N;;;11;
"MultistateInput(3000419)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_5.ccf-reprisee1 9_5-etat";13;3000419;;;;N;;;11;
"MultistateInput(3000418)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_4.ccf-reprisee1 9_4-etat";13;3000418;;;;N;;;11;
"MultistateInput(3000417)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_3.ccf-reprisee1 9_3-etat";13;3000417;;;;N;;;11;
"MultistateInput(3000416)";504;"GTBQIDMCRC/LON.ccf-reprisee1 9_2.ccf-reprisee1 9_2-etat";13;3000416;;;;N;;;11;
