#Engineering-Data-Exchange;;;;;;;;;;;;
PROJECT_NAME;"BDT";;;;;;;;;;;
VERSION_OF_REFERENCEFILE;1;;;;;;;;;;;
TIMESTAMP_OF_LAST_CHANGE;17.11.2025;;;;;;;;;;;
AUTHOR_OF_LAST_CHANGE;;;;;;;;;;;;
VERSION_OF_LAYOUT;2;;;;;;;;;;;
#mandatory;mandatory;mandatory;mandatory;mandatory;optional;optional;optional;optional;optional;optional;optional;optional
# keyname;device obj.-instance;object-name;object-type;object-instance;description;min-present-value;max-present-value;commandable;hi-limit;low-limit;state-text-reference;unit-code
"Trendlog(3010580)";504;"GTBQIDMCRC/MSTP1.FX55.AV-37.Tendance1";20;3010580;;;;N;;;;
"Trendlog(3010579)";504;"GTBQIDMCRC/MSTP1.FX55.AV-44.Tendance1";20;3010579;;;;N;;;;
"Trendlog(3010578)";504;"GTBQIDMCRC/MSTP1.FX55.AV-3.Tendance1";20;3010578;;;;N;;;;
"Trendlog(3010577)";504;"GTBQIDMCRC/MSTP1.FX54.AV-37.Tendance1";20;3010577;;;;N;;;;
"Trendlog(3010576)";504;"GTBQIDMCRC/MSTP1.FX54.AV-44.Tendance1";20;3010576;;;;N;;;;
"Trendlog(3010575)";504;"GTBQIDMCRC/MSTP1.FX54.AV-3.Tendance1";20;3010575;;;;N;;;;
"Trendlog(3010574)";504;"GTBQIDMCRC/MSTP1.FX52.AV-37.Tendance1";20;3010574;;;;N;;;;
"Trendlog(3010573)";504;"GTBQIDMCRC/MSTP1.FX52.AV-44.Tendance1";20;3010573;;;;N;;;;
"Trendlog(3010572)";504;"GTBQIDMCRC/MSTP1.FX52.AV-3.Tendance1";20;3010572;;;;N;;;;
"Trendlog(3010571)";504;"GTBQIDMCRC/MSTP1.FX51.AV-37.Tendance1";20;3010571;;;;N;;;;
"Trendlog(3010570)";504;"GTBQIDMCRC/MSTP1.FX51.AV-44.Tendance1";20;3010570;;;;N;;;;
"Trendlog(3010569)";504;"GTBQIDMCRC/MSTP1.FX51.AV-3.Tendance1";20;3010569;;;;N;;;;
"Trendlog(3010568)";504;"GTBQIDMCRC/MSTP1.FX50.AV-37.Tendance1";20;3010568;;;;N;;;;
"Trendlog(3010567)";504;"GTBQIDMCRC/MSTP1.FX50.AV-44.Tendance1";20;3010567;;;;N;;;;
"Trendlog(3010566)";504;"GTBQIDMCRC/MSTP1.FX50.AV-3.Tendance1";20;3010566;;;;N;;;;
"Trendlog(3010565)";504;"GTBQIDMCRC/MSTP1.FX49.AV-37.Tendance1";20;3010565;;;;N;;;;
"Trendlog(3010564)";504;"GTBQIDMCRC/MSTP1.FX49.AV-44.Tendance1";20;3010564;;;;N;;;;
"Trendlog(3010563)";504;"GTBQIDMCRC/MSTP1.FX49.AV-3.Tendance1";20;3010563;;;;N;;;;
"Trendlog(3010562)";504;"GTBQIDMCRC/MSTP1.FX47.AV-37.Tendance1";20;3010562;;;;N;;;;
"Trendlog(3010561)";504;"GTBQIDMCRC/MSTP1.FX47.AV-44.Tendance1";20;3010561;;;;N;;;;
"Trendlog(3010560)";504;"GTBQIDMCRC/MSTP1.FX47.AV-3.Tendance1";20;3010560;;;;N;;;;
"Trendlog(3010559)";504;"GTBQIDMCRC/MSTP1.FX46.AV-37.Tendance1";20;3010559;;;;N;;;;
"Trendlog(3010558)";504;"GTBQIDMCRC/MSTP1.FX46.AV-44.Tendance1";20;3010558;;;;N;;;;
"Trendlog(3010557)";504;"GTBQIDMCRC/MSTP1.FX46.AV-3.Tendance1";20;3010557;;;;N;;;;
"Trendlog(3010556)";504;"GTBQIDMCRC/MSTP1.FX45.AV-37.Tendance1";20;3010556;;;;N;;;;
"Trendlog(3010555)";504;"GTBQIDMCRC/MSTP1.FX45.AV-44.Tendance1";20;3010555;;;;N;;;;
"Trendlog(3010554)";504;"GTBQIDMCRC/MSTP1.FX45.AV-3.Tendance1";20;3010554;;;;N;;;;
"Trendlog(3010553)";504;"GTBQIDMCRC/MSTP1.FX44.AV-37.Tendance1";20;3010553;;;;N;;;;
"Trendlog(3010552)";504;"GTBQIDMCRC/MSTP1.FX44.AV-44.Tendance1";20;3010552;;;;N;;;;
"Trendlog(3010551)";504;"GTBQIDMCRC/MSTP1.FX44.AV-3.Tendance1";20;3010551;;;;N;;;;
"Trendlog(3010550)";504;"GTBQIDMCRC/MSTP1.FX42.AV-37.Tendance1";20;3010550;;;;N;;;;
"Trendlog(3010549)";504;"GTBQIDMCRC/MSTP1.FX42.AV-44.Tendance1";20;3010549;;;;N;;;;
"Trendlog(3010548)";504;"GTBQIDMCRC/MSTP1.FX42.AV-3.Tendance1";20;3010548;;;;N;;;;
